question,answer,first_wrong_answer,second_wrong_answer,third_wrong_answer
"After a token has entered the battlefield, does changing its subtype(s) alter its name?","No, changing the token’s subtype(s) does not alter its name","Yes, the name updates to match the new subtype(s)",Only if the name and subtype are changed together,It only changes if the token originally had no name defined
What is the name of each token created by Dwarven Reinforcements?,Dwarf Berserker Token,Dwarf Berserker,Dwarf,Berserker
What creature types do the tokens created by Dwarven Reinforcements have?,Dwarf and Berserker,Dwarf,Berserker,Dwarf and Berserker Token
What will be the name of the token created by *Spitting Image* if it targets *Doomed Dissenter*?,Doomed Dissenter,Human Token,Doomed Dissenter Token,Boo
Which of the following names will NOT be used for the token created by *Spitting Image* when it copies *Doomed Dissenter*?,Human Token,Doomed Dissenter,Doomed Dissenter Token,Boo
What rules apply to a token with regard to permanent effects?,"It is subject to any rule or effect that affects permanents, including those that affect its card type or subtype.",Tokens are immune to all permanent effects.,Tokens only react to spells that directly target them.,Tokens are only affected by effects controlled by their owner.
Is a token considered a card?,"No, a token is not a card even if it is represented by a physical card that has a Magic back or that comes from a Magic booster pack.","Yes, a token is a card as long as it has a Magic back.",Tokens are only cards if they are created by a card that is currently on the battlefield.,Tokens become cards only when they are stored in the library.
Is a token considered a card in Magic: The Gathering?,"No, a token is not a card.","Yes, a token is a card.",A token can be shuffled into the library like a card.,Tokens are permanent cards that can be drawn.
"Even if a token is represented by a card that has a Magic back or came from a booster pack, what is its status?",It is still not a card; it is a token.,It is a playable card that can be shuffled into the library.,It becomes a card once it enters the battlefield.,It can be searched from the graveyard as a card.
What happens to a token that moves to a zone other than the battlefield?,It ceases to exist.,It remains on the battlefield until the end of the turn.,It turns into a card.,It becomes an artifact.
"When a token changes zones, what happens to its triggered abilities?",Applicable triggered abilities trigger before the token ceases to exist.,The triggered abilities are cancelled.,The token’s abilities are transferred to the new zone.,The token’s abilities remain but the token becomes an artifact.
What happens to triggered abilities when a token changes zones?,"The abilities trigger before the token ceases to exist,","The abilities are canceled immediately,","The abilities trigger after the token ceases to exist,",The abilities never trigger because tokens are not cards.
"If a token would change zones after it has left the battlefield, what happens to that token?","It remains in its current zone,","It is shuffled back into the deck,","It is immediately destroyed and removed from the game,",It returns to the battlefield as a new token.
What happens when a token that has left the battlefield tries to move to another zone?,It remains in its current zone and then ceases to exist the next time state‑based actions are checked.,It automatically returns to the battlefield.,It is ignored and continues to exist in the zone it left.,It becomes a permanent instead of a token.
Can a token that has left the battlefield move back onto the battlefield?,"No, it cannot move to another zone or come back onto the battlefield.","Yes, but only if a spell specifically allows it.",Only if the player pays an additional mana cost.,Only during the controller’s next turn.
What occurs if a token that has already left the battlefield would change zones?,It remains in its current zone instead.,It is immediately destroyed and removed from the game.,It is returned to the battlefield at the next upkeep.,It takes control of the player who created it.
"When a token that has departed the battlefield is instructed to move to another zone, how is that move handled?",The token stays in its current zone rather than moving.,The token moves to the owner's hand as a replacement effect.,The token is turned into a permanent creature.,The token is returned to the battlefield with a new name.
When does a token that has left the battlefield cease to exist?,It ceases to exist the next time state‑based actions are checked.,It disappears immediately as it leaves the battlefield.,It is exiled when it changes zones.,It is sent to the graveyard when it leaves the battlefield.
What is required to create a legendary token?,The effect must instruct the player to create a token that has the legendary supertype and a specified name.,The token must be a creature with at least three power and three toughness.,The token must have an activated ability that can be used any time.,The token must be a land that can tap for mana.
How can an effect instruct a player to create a legendary token that has a specific name?,"By writing “create [name], a [token characteristics] …”, listing the token’s traits along with its name.",By first creating a token and then using a separate command to rename it.,By simply saying “create a legendary token” and then choosing a name later.,By creating the token and then assigning the name to the token’s controller instead of the token itself.
"If an effect writes “create [name], a [characteristics] …”, what does the created object become?",It becomes a token that has the listed characteristics and the specified name.,It becomes a permanent on the battlefield that can later be renamed.,It becomes a creature with the given name but without the listed characteristics.,It becomes a new card that enters the battlefield under the player’s control.
What happens when an effect instructs a player to create a token with a given name?,It creates a token that has the listed characteristics and bears the specified name.,It creates a permanent with that name but no specified characteristics.,It creates a legendary creature that cannot be tokenized.,It creates a token but the name cannot be used for any other purpose.
What determines the characteristics of a token created when a card instructs a player to create a predefined token?,"The effect uses the token’s definition to determine its characteristics, and it may also modify or add to those characteristics.",The token automatically takes the characteristics of the creature that cast the card.,The token’s characteristics are chosen randomly by the player.,The token inherits the characteristics of the last creature that died.
Is it possible for an effect that creates a predefined token to change that token’s characteristics after it is created?,Yes; the effect may modify or add to the token’s predefined characteristics.,No; the token’s characteristics are fixed once created.,Only if the token is a legendary creature can its characteristics be altered.,Only the player may change the token’s characteristics after it is created.
Can the effect that creates a predefined token modify or add to the token’s predefined characteristics?,"Yes, the effect may modify or add to the token’s predefined characteristics.","No, the token’s characteristics are fixed once the token is created.","The effect can only change the token’s color, not its other characteristics.",The effect can only change the token’s type but not its abilities.
What does the rule allow the effect that creates a predefined token to do with the token’s characteristics?,The effect may modify or add to the token’s predefined characteristics.,The effect must leave the token’s characteristics unchanged.,The effect can only remove characteristics from the token.,The effect can only add new types to the token without altering existing characteristics.
What is the color of a Treasure token?,Colorless,Red,Blue,Green
What ability does a Treasure token have when it is tapped?,"{T}, Sacrifice this token: Add one mana of any color.","{1}, Sacrifice this token: Draw a card.","{3}, Sacrifice this token: Destroy target creature.","{T}, Sacrifice this token: Gain 5 life."
"Which token has the ability “{2}, {T}, Sacrifice this token: You gain 3 life.”?",Food token,Treasure token,Gold token,Land token
What ability does a Gold token grant when it is sacrificed?,Sacrifice this token: Add one mana of any color.,Sacrifice this token: Destroy all creatures.,Sacrifice this token: Draw two cards.,Sacrifice this token: Tap all untapped permanents.
Which token is described as a colorless artifact token with the text “Sacrifice this token: Add one mana of any color.” and no tap cost?,Gold token,Treasure token,Food token,Creature token
What is a Food token?,"colorless Food artifact token with “{2}, {T}, Sacrifice this token: You gain 3 life.”",a colorless creature token that can block monsters,a land token that can be tapped for mana,a card token that gives an opponent life
What happens when you sacrifice a Food token?,You gain 3 life.,You lose 3 life.,Your opponent gains 3 life.,Your life total stays the same.
What is the tap cost of activating a Food token’s ability?,{2} and tap.,{1} and tap.,{3} and tap.,"No cost, you just sacrifice it."
What effect does a Gold token produce when it is sacrificed?,Add one mana of any color.,Gain 3 life.,Scry 1 and then draw a card.,Put a creature onto the battlefield.
What is a Shard token?,a colorless Shard enchantment token.,a creature token.,a land token.,a planeswalker token.
What can you do when you sacrifice a Shard token?,"Scry 1, then draw a card.",Gain 3 life.,Destroy target creature.,Draw two cards.
What is the effect of activating a Clue token’s ability?,Draw a card.,Discard a card.,Add one colorless mana to your mana pool.,Shuffle your library.
How much mana must be paid to activate a Clue token’s ability?,Two generic mana.,One generic mana.,Three generic mana.,No mana.
"Which type of token is described as a colorless artifact token with the ability “{2}, Sacrifice this token: Draw a card.”?",Clue token.,Shard token.,Blood token.,Powerstone token.
What can a Powerstone token do when it is tapped?,"Add one colorless mana, and that mana cannot be spent to cast a non‑artifact spell.",Add one colored mana that can be spent to cast any spell.,Add two colorless mana.,It can be sacrificed to add mana.
What restriction applies to the mana produced by a Powerstone token?,The mana can’t be spent to cast a non‑artifact spell.,The mana can’t be used for any purpose.,"The mana can be spent to cast any spell, regardless of type.",The mana can only be used to pay for artifact spells.
What is an Incubator token?,A double‑faced token.,A single‑faced creature token that can be sacrificed for mana.,A token that can only be created by the card *Incubator*.,A token that is always green.
What ability does the front face of an Incubator token have?,{2}: Transform this token.,{T}: Add {C}.,"{1}, {T}, Discard a card, Sacrifice this token: Draw a card.","{3}, Tap: Destroy target creature."
What appears on the back face of an Incubator token?,A 0/0 colorless Phyrexian artifact creature named Phyrexian Token.,A 2/2 colorless artifact creature.,"A 1/1 creature with the keyword ""Phyrexian"".",An artifact with no creature type.
What color is an Incubator token?,Colorless,Red,Blue,Green
What happens when you activate the Incubator token’s front‑face ability?,It transforms the token into a 0/0 colorless Phyrexian artifact creature named Phyrexian Token.,It creates a new Incubator token.,It grants the token flying until end of turn.,It allows the token to tap for mana.
What is the back face of an Incubator token?,A 0/0 colorless Phyrexian artifact creature named Phyrexian Token.,A 1/1 colorless creature with flying.,A 2/2 artifact creature with trample.,A 0/0 colorless creature with protection from all colors.
What effect does a Royal Role token give to the creature it enchants?,It grants the enchanted creature +1/+1 and ward {1}.,It grants the enchanted creature +2/+2 and lifelink.,It grants the enchanted creature protection from all colors.,It grants the enchanted creature trample and first‑strike.
What is the meaning of ward {1} on a Royal Role token?,It forces you to pay 1 mana whenever a creature with ward is targeted by a spell or ability.,It allows the creature to block twice each combat.,It gives the creature the ability to tap for mana each turn.,It makes the creature indestructible while you control it.
"When a Wicked Role token is put into a graveyard from the battlefield, what effect does it trigger?",Each opponent loses 1 life.,The token is exiled instead of going to the graveyard.,The player who controlled the token draws a card.,Nothing happens; the token’s abilities are only active while on the battlefield.
What bonus does a Wicked Role token give to the creature it enchants?,Enchanted creature gets +1/+1.,Enchanted creature gets +2/+2.,Enchanted creature gains flying.,Enchanted creature becomes a 1/1 creature.
"When a Young Hero Role token attacks and its toughness is 3 or less, what happens?",A +1/+1 counter is put on it.,The attacking creature deals double damage.,The creature becomes tapped.,The creature dies immediately.
What type of token is a Young Hero Role token?,A colorless Aura Role enchantment token named Young Hero that can enchant a creature.,A green creature token.,A colorless artifact token.,A colorless instant token.
What is the cost and effect of activating a Map token?,"The Map token's ability costs {1}, {T}, and requires the token to be sacrificed; it then allows you to choose a target creature you control to explore.","The Map token's ability costs {2}, {T}, and allows you to choose a target creature you control to draw a card.","The Map token's ability costs {1}, {T}, and allows you to choose a target creature you control to destroy.","The Map token's ability costs {1}, {T}, and allows you to choose a target creature you control to put a +1/+1 counter on it."
When can you activate the Map token's ability?,"Only as a sorcery, meaning you can activate it during your main phase when the stack is empty.","Only as a spell, meaning you can activate it at any time you could cast a spell.","Only during combat, meaning you can activate it only when combat is happening.",Only during your opponent’s turn.
What type and color is a Map token?,It is a colorless Map artifact token.,It is a colorless creature token.,It is a colorless sorcery token.,It is a red artifact token.
What does the “explores” effect do when a creature explores?,"When a creature explores, it taps and the controller may choose to either put the top card of their library onto their hand or discard the top card of their library.","When a creature explores, it taps and the controller draws a card.","When a creature explores, it taps and the controller loses life equal to its power.","When a creature explores, it taps and the controller may exile a card from their hand."
During which type of turn can the Map token’s ability be activated?,only during a sorcery‑speed turn,only during an instant‑speed turn,"any turn, as long as you control the token",only during the opponent’s turn
What does the phrase “Activate only as a sorcery” restrict in a Magic: The Gathering ability?,"It limits activation to a sorcery‑speed turn, when no other spells or abilities are being cast",It allows activation only while you are the active player,It means the ability can be activated during any instant‑speed interaction,It requires the player to pay an additional mana cost to activate the ability
What is the effect of a Lander token’s activated ability?,"Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",Search your library for any land card and put it onto the battlefield untapped.,Draw a card.,Tap the Lander token to give all creatures +1/+1 until end of turn.
What is the cost to activate a Lander token’s ability?,"{2}, tap, sacrifice the token.","{1}, tap.","{3}, tap.",You cannot activate a Lander token’s ability.
What color is a Lander token?,Colorless.,Red.,Blue.,Green.
What determines the characteristics of the token created by Disa the Restless?,The Oracle card reference for the named token,The text on Disa the Restless’s ability card,The last known information of the token,The abilities of all other tokens on the battlefield
Which token does Disa the Restless create?,Tarmogoyf,Llanowar Elves,Goblin Guide,Tarmogoyf (duplicate for variation)
Does rule 111.12 apply to an effect that would use the last known information of an object?,"No, it does not apply.","Yes, it applies in all cases.",Only if the object is on the battlefield.,It applies only when the object is a creature.
Under what circumstance does rule 111.12 not prevent the creation of a token?,When the effect uses the last known information of the object.,When the object is a non‑land permanent.,When the object has already been removed from the game.,When the token is created during a player's upkeep.
"If an effect instructs a player to create a token that is a copy of a nonexistent object and the effect relies on the object's last known information, what is the result?",No token is created.,A token is created but it has no abilities.,The token is created with the object's current characteristics.,The effect is ignored and the game continues normally.
What happens when an attempt is made to create a token copy from a card exiled with Mimic Vat but no card has actually been exiled?,no token is created,a token with no characteristics is created,a token with random characteristics is created,a token with infinite counters is created
What ability does the token created by Mimic Vat’s activated ability gain?,haste,first strike,flying,double strike
"At the beginning of the next end step, what becomes of the token created by Mimic Vat?",it is exiled,it is put into the graveyard,it is returned to the hand,it gets tapped
What ability does the token receive immediately after it is created?,It gains haste.,It can block twice each combat.,It must be sacrificed if it has no other abilities.,It becomes indestructible for the rest of the turn.
At what point during the game is the token exiled?,At the beginning of the next end step.,When the creature would die from lethal damage.,When the controller chooses to sacrifice it.,When the controller loses life equal to its power.
What becomes of a permanent spell when it is copied and resolves?,It becomes a token that has the same characteristics as the spell that was copied.,It creates a permanent on the battlefield that can be cast again.,It is returned to the caster’s library as a separate card.,It is exiled immediately and cannot enter play.
"When a token is produced by copying a permanent spell, does it count as “created” for the purposes of replacement effects or triggered abilities that refer to creating a token?","No, it is not considered “created” for those effects.","Yes, it is treated exactly as any token that is created.",Only if the spell had flash can it be treated as created.,It depends on whether the spell is a creature or non‑creature permanent.
What is a spell?,A spell is a card on the stack.,A spell is a permanent that remains on the battlefield.,A spell is a card that moves to the graveyard after casting.,A spell is a card that is immediately turned into a creature.
"When a card is cast, what does it become while it resolves?",It becomes a spell on the stack.,It becomes a permanent on the battlefield.,It becomes a planeswalker in your hand.,It becomes a token in your graveyard.
What happens to a card when it is first cast?,The card becomes a spell and is moved to the top of the stack.,The card is immediately put onto the battlefield.,The card is sent directly to the graveyard.,The card is returned to the library.
From which zone does a card normally come when it is cast?,Its owner’s hand.,The battlefield.,The graveyard.,The library.
What is the first step of a spell’s lifecycle after it is cast?,It is moved to the top of the stack as a spell.,It is discarded.,It is put into exile.,It is shuffled back into the library.
What conditions cause a spell to leave the stack?,"It resolves, it is countered, or otherwise leaves the stack.",It is cast from a player’s hand.,It becomes tapped.,It is put onto the battlefield.
What is a copy of a spell considered?,"It is also a spell, even if it has no card associated with it.",It is a permanent.,It is a creature.,It is a counterspell.
Does a copy of a spell need to have an associated card to be considered a spell?,"No, a copy of a spell is still a spell even without a card.","Yes, it must be tied to a card.",Only if the copy was created by a specific card.,Only if the copy is the result of a spell that creates copies.
Who owns a spell that is a copy of a card?,The player under whose control the spell was put on the stack.,The original owner of the card that was copied.,The opponent of the player who controlled the spell.,"The game itself, which assigns ownership to the current turn’s controller."
"By default, who controls a spell when it is put on the stack?",The player who put it on the stack.,The owner of the card that represents the spell.,The opponent who has the spell in their hand.,The mana pool of the casting player.
Under what circumstance does a copy of a card become a spell?,When the player casts it.,When the effect merely creates a copy without casting.,When the copy is put into the graveyard.,When the copy is tapped for an ability.
"When a player creates a copy of a card and is instructed to cast it, who is the owner of that copy?",The player who was instructed to create it and given permission to cast it.,The original card’s owner.,The player who first owned the original card.,The player who controls the spell on the stack.
When does an effect that changes a permanent’s characteristics continue to apply?,After the spell resolves.,While the spell is on the stack.,Only if the permanent was already on the battlefield before the spell was cast.,Never—such effects do not persist.
"If an effect changes a black creature spell to white, what color is the creature when it enters the battlefield?",White.,Black.,Blue.,Colorless.
Which of the following best describes the interaction between a resolving spell that changes a permanent’s characteristics and the permanent itself?,The permanent takes on the new characteristics and keeps them for the duration of the effect.,The permanent keeps its original characteristics until it leaves the battlefield.,The permanent ignores any changes made by the spell once it resolves.,The permanent only changes if the spell is countered.
"If an effect changes a black creature spell to white, what color will the creature be when it enters the battlefield, and how long does the color change last?","White, and it remains white for the duration of the effect.","Black, and it never changes color.","White, but it reverts to black as soon as it enters the battlefield.",The creature keeps its original black color until it is dealt damage.
"When a spell that changes a creature's color resolves, does the new color affect the creature after it enters the battlefield?",Yes; the creature stays the new color for the duration of the effect.,No; the color change only applies while the spell is in the stack.,The creature becomes the new color only if it has already entered the battlefield.,The creature changes color only when it is dealt combat damage.
What is an ability in Magic: The Gathering?,A characteristic an object has that lets it affect the game.,A cost that must be paid to play a card.,A rule that limits what players can do during combat.,A type of card that has no effect until it enters the battlefield.
Which of the following best describes an ability?,A characteristic that allows an object to influence the game.,An effect that only applies to spells.,A rule that removes a card from play.,A permanent that can be traded between players.
What words are commonly used by effects to indicate that they grant an ability?,"has, have, gains, or gain","bestows, confers, provides, or gives","creates, forms, builds, or constructs","awards, delivers, offers, or handed"
When does a player normally have no abilities?,No abilities unless granted to that player by effects.,Because abilities are automatically granted at the start of the game.,When the player draws a card with an ability.,When the player activates a spell that grants abilities.
What grants a player abilities in the game?,Effects that are applied to the player.,The number of cards in the player's hand.,The order of turns in a game.,The type of mana the player uses to cast spells.
Abilities in Magic: The Gathering can affect which of the following?,"the objects they’re on, other objects, and/or players",only the creature that has the ability,only the player who cast the ability,only the battlefield as a whole
Which of the following is an example of a detrimental ability?,This creature can’t block,This creature can’t attack,This creature is indestructible,This creature gains vigilance
"Besides the object they’re on, what else can an ability affect?",other objects and/or players,the card’s controller only,the card’s owner only,the battlefield only
"When an object is represented by a card, how are its multiple abilities displayed on the card’s text?",Each paragraph break in the card’s text marks a separate ability.,All abilities are listed on a single line.,Abilities are separated by commas.,Abilities are indicated on the same line with a slash.
How does a card’s text indicate that it contains multiple separate abilities?,"Each paragraph break in the card’s text marks a separate ability, except for certain keyword abilities that may be combined on a single line.",A dash between lines signals a new ability.,The abilities are listed alphabetically.,Color codes are used to differentiate abilities.
How can an object that is not represented by a card acquire multiple abilities?,The effect that created it may have given it multiple abilities.,It can only gain abilities if a card is attached to it.,Non‑card objects cannot have more than one ability at a time.,It must be turned into a creature to receive extra abilities.
How can an object acquire additional abilities?,By being granted them through a spell or ability.,By having multiple instances of the same ability on a card.,By being drawn from the deck.,By being placed in the graveyard.
How do multiple instances of the same ability on a single object function?,Each instance functions independently.,They merge into a single effect that is applied once.,They cancel each other out so that none take effect.,Only the first instance of the ability applies; later ones are ignored.
Does an object with multiple instances of the same ability always produce more effects than a single instance?,It may or may not produce more effects; it depends on the specific ability.,It always produces more effects.,It never produces more effects.,It produces the same effect regardless of how many instances it has.
"When an object has multiple instances of the same ability, where should you look to understand how it behaves?",Refer to the specific ability for more information.,Ignore the rule and assume the effect is identical to a single instance.,Assume it behaves like a single instance without checking.,Assume it automatically doubles the effect.
What are the two types of effects that abilities can generate?,one‑shot effects or continuous effects,static effects and dynamic effects,damage effects and healing effects,instant effects and delayed effects
Which of the following are examples of continuous effects?,replacement effects or prevention effects,direct damage effects or counterspell effects,draw effects or tap effects,removal effects or life‑gain effects
Which types of abilities on an instant or sorcery spell are *not* considered spell abilities?,"activated abilities, triggered abilities, or static abilities that meet the special criteria",only activated abilities,only triggered abilities,only static abilities that do not require a cost
When is the text on an instant or sorcery spell *always* treated as a spell ability?,"When the text is not an activated ability, a triggered ability, or a static ability that meets the special criteria",When the text contains a mana cost,When the text includes a damage effect,When the text names a creature
What must an activated ability contain?,A cost and an effect,A trigger and an effect,A cost and a trigger,A static effect
How is an activated ability written?,"""[Cost]: [Effect.] [Activation instructions (if any).]""","""[Effect]: [Cost.] [Trigger instructions]""","""[Cost] – [Effect] – [Activation]""","""[Trigger] – [Effect] – [Cost]"""
When may a player activate an activated ability?,Whenever they have priority,When the ability resolves,When the creature is on the battlefield,When the opponent casts a spell
"When an activated ability is put onto the stack, how long does it stay there?","It remains on the stack until it’s countered, resolves, or otherwise leaves the stack.",It stays on the stack only until the end of the current turn.,It disappears from the stack the next time a player receives priority.,It moves to the graveyard immediately after being activated.
What can cause an activated ability that is already on the stack to leave before it resolves?,"It can be countered, it can resolve, or it can otherwise leave the stack (for example, by a state‑based effect).",It will only leave the stack if the player loses all priority.,It disappears only when the game ends or a new game starts.,It stays on the stack permanently unless the controller discards their hand.
What do static abilities do?,"They create continuous effects that are active while the permanent with the ability is on the battlefield and has the ability, or while the object with the ability is in the appropriate zone.",They trigger when a certain event occurs.,They require you to pay mana to activate them.,They are only active during combat.
When is a static ability’s continuous effect active?,"While the permanent with the ability is on the battlefield and has the ability, or while the object with the ability is in the appropriate zone.",Only while you are attacking.,Only when you cast the card.,Only during your main phase.
Which of the following statements correctly describes mana abilities?,They don’t use the stack.,They always resolve before other abilities.,They can only be activated when the player has priority.,They are treated as activated abilities for the purpose of timing.
Under what circumstance can a player activate a mana ability even if they don’t have priority?,"When certain special rules allow it, such as during the upkeep step of a triggered ability that grants a mana ability.",Only during a player’s own main phase.,Only when the stack is not empty.,Only if the player has no other abilities on the stack.
When may a player activate a loyalty ability of a permanent they control?,"When they have priority, the stack is empty, it is a main phase of their turn, and no player has previously activated a loyalty ability of that permanent that turn.",Any time during combat.,Only during the declare attackers step.,If the stack is not empty.
What condition must be true about the stack and priority for a player to activate a loyalty ability?,The stack must be empty and the player must have priority during a main phase of their turn.,The stack must contain at least one spell.,The player must be in the declare blockers step.,The player may activate it only if they have no priority.
Can a player activate a loyalty ability after another player has activated one of the same permanent that turn?,"No, because only the first activation of a loyalty ability on that permanent is allowed per turn.","Yes, as long as the stack is empty.","Yes, as long as the first activation was during combat.","Yes, if the permanent has two loyalty counters."
Where does an ability that specifies which zones it doesn’t function in operate?,"It functions in every zone except those specifically named, even outside the game and before it begins.",It only works in the zones it names as non‑functional.,It works only on the stack.,It works only during the active player's turn.
Does an ability that declares which zones it does not function in work when the game is not yet in play?,"Yes, it still functions everywhere except the zones it names, even outside the game and before it begins.","No, it only activates after the game has started.","No, it only works inside the battlefield zone.","No, it only works while a player is in the graveyard."
What is the zone in which an object’s ability that allows a player to pay an alternative cost instead of its mana cost functions?,It functions on the stack.,It functions in the battlefield.,It functions in the graveyard.,It functions in the hand.
"Which type of ability limits or changes how a card can be played or cast from any zone it could normally be played or cast from, and also while it is on the stack?",A restriction or modification ability that limits how the card can be played or cast,An ability that changes the card’s mana cost,An ability that grants the card flying,An ability that allows the card to be cast from outside the game
"Which ability type grants a card another ability that restricts or modifies how it can be played or cast, but only while the card is on the stack?",A grant ability that applies only on the stack,A static ability that applies outside the game,An activated ability that can be used during any turn,A triggered ability that activates when the card enters the battlefield
"What does an object's ability that grants it another ability that restricts or modifies how that object can be played or cast, functioning only on the stack, allow it to do?","It allows the object to gain an additional ability that limits or changes how it can be played or cast, but only while it is on the stack.",It lets the object be cast from the graveyard.,It prevents the object from being countered.,It makes the object cost no mana to cast.
When does the ability described in the rule (the ability that grants another ability that restricts or modifies how an object can be played or cast) function?,Only while the object is on the stack.,While the object is in a player's hand.,While the object is on the battlefield.,While the object is in the graveyard.
Which type of ability allows an object to be played or cast from zones outside the game?,An ability that restricts or modifies what zones that particular object can be played or cast from,An ability that restricts or modifies the timing of the object's activation,An ability that restricts or modifies how the object can be countered,An ability that restricts or modifies how the object can be copied
When does an ability that restricts or modifies the zones an object can be played or cast from function?,"Everywhere, even outside the game",Only when the object is on the battlefield,Only while the object is on the stack,Only when the object is in a player's hand
When does an object's ability that states it can’t be countered or can’t be copied function?,On the stack,While the object is on the battlefield,While the object is in your hand,While the object is in the graveyard
Which rule governs the ability of an object that can’t be countered or copied?,Rule 113.6g,Rule 614.12,Rule 301.12,Rule 106.6
When does an object’s ability that modifies how it enters the battlefield take effect?,While the object is entering the battlefield.,After the object has fully entered the battlefield.,Only when the object is in the player’s hand.,While the object is on the battlefield.
When does an ability that says “counters can’t be put on that object” function?,While the object is entering the battlefield and while it is on the battlefield.,Only while the object is on the battlefield.,Only while the object is in a player’s hand.,Only after the object leaves the battlefield.
What type of ability prevents counters from being placed on an object?,A static ability that functions while the object is entering the battlefield and while it is on the battlefield.,An activated ability that can be used while the object is on the battlefield.,A triggered ability that occurs when the object enters the battlefield.,A combat ability that triggers during combat.
What determines when an activated ability whose cost cannot be paid while its object is on the battlefield can be used?,It can be activated from any zone in which its cost can be paid.,It can only be activated while the object is on the battlefield.,"It can only be activated from the battlefield, even if the cost could be paid elsewhere.",It can only be activated after the object has entered the battlefield.
What happens when Absolver Thrull enters the battlefield?,it destroys target enchantment,it deals 2 damage to target creature,it taps target creature,it draws a card
From which zone does the second trigger condition of Absolver Thrull’s ability function?,the exile zone,the graveyard,the battlefield,the hand
What effect does Absolver Thrull have when the creature it haunts dies?,it destroys target enchantment,it returns the haunt to the battlefield,it creates a 1/1 token,it gains 3 life for its controller
What determines whether an ability that moves its object out of a zone can activate outside that zone?,"Only if the ability’s trigger condition or a prior part of its cost or effect specifies that the object is returned to that zone, or if the object is an Aura and the object it enchants leaves the battlefield.","If the ability costs mana, it can activate anywhere on the battlefield.","As long as the object is on the battlefield, the ability can activate regardless of the zone.",The ability can only activate when the object is in the graveyard.
Under what circumstances can a delayed triggered ability that moves an object out of a zone function outside that zone?,Only if its effect moves the object into that zone or if the object is an Aura whose enchanted object leaves the battlefield.,"Whenever the original creature’s ability triggers, regardless of zone.",When the player has more than ten mana available.,"When the object is in exile, the ability always functions."
Which of the following best explains rule 113.6m regarding abilities that move an object out of a zone?,"An ability that moves its object out of a particular zone works only within that zone unless its trigger, cost, or effect changes that zone, or for Auras, unless the enchanted object leaves the battlefield.",The rule allows any ability to move objects between zones freely during the combat phase.,Only abilities that are activated by the controller’s decision can move objects out of a zone.,An object can only be moved out of a zone if it is first sacrificed.
What does an ability that modifies the rules for deck construction do before a game begins?,"It changes how decks can be built, affecting the Comprehensive Rules, tournament rules, and any other format‑specific deck construction documents, but it cannot alter a card’s format legality.",It increases the maximum number of cards in a player’s hand.,It allows a player to draw additional cards during the game.,It automatically removes banned cards from a deck.
Can an ability that modifies deck construction rules affect the legality of a card in a specific format?,"No, it cannot affect a card’s format legality.","Yes, it can change whether a card is banned or restricted.","Yes, it can alter the color identity of a card.","Yes, it can modify the power and toughness of a creature card."
At what point does an ability that modifies the rules for deck construction take effect?,Before the game begins.,During the game after the first turn.,After the game has ended.,At the start of the opponent’s next turn.
Which aspect of a card cannot be altered by an ability that modifies deck‑construction rules?,"The format legality of a card, including whether it is banned or restricted.",Its mana cost.,Its card type.,The number of times it has been printed.
Can a deck‑construction ability change whether a card is banned in a particular format?,"No, it cannot.","Yes, it can.","Yes, but only if the card is also restricted.","Yes, but only in casual play."
What does the source of an ability refer to?,the object that generated it,the controller of the ability,the player who cast the spell that triggered it,the stack position where the ability is located
"When an activated ability is on the stack, what is its source?",the object whose ability was activated,the player who activated the ability,the stack order of the activated ability,the card that lists the ability in its description
What is the source of a triggered ability that is on the stack?,the object whose ability triggered,the controller of the triggered ability,the ability that triggered itself,the stack priority at the moment it is put onto the stack
"When a triggered ability is on the stack, what is considered its source?",The object whose ability triggered,The player who cast the spell,The stack itself,The ability that triggered the next ability
What is the source of a triggered ability that has triggered but is waiting to be put on the stack?,The object whose ability triggered,The player controlling the ability,The game state at the time of trigger,The zone where the ability is waiting
Does destroying the source of a triggered or activated ability after it has entered the stack affect the ability’s resolution?,"No, the ability remains unaffected.","Yes, the ability is canceled immediately.",The ability stops resolving but still counts toward the stack size.,The ability changes its cost to match the new battlefield state.
"When an activated or triggered ability is already on the stack, can its source being removed from the battlefield later alter that ability?","No, the ability continues to resolve as normal.","Yes, the ability becomes a spell instead of an ability.",The ability turns into a counter on the battlefield.,The ability must be returned to the hand of its controller.
What does it mean when an ability causes a source to do something instead of the ability doing something directly?,"The ability triggers an effect that the source (e.g., a creature) performs, such as dealing damage.",The ability is removed when the source dies.,The ability automatically resolves without adding to the stack.,The ability cannot be activated again.
Give an example of an ability that causes a source to do something.,This creature deals 1 damage to any target.,This creature gets +1/+1 until end of turn.,This creature becomes indestructible.,This creature taps for mana.
When an activated or triggered ability that references its source checks that information?,When the ability is put onto the stack.,When the ability resolves.,Only if the source is still on the battlefield.,Before the source is declared as the target.
"If the source of an ability is no longer in its expected zone when the ability resolves, what information is used?",The source’s last known information.,The source’s current state.,No information is used.,The controller’s memory of the source.
When does an ability that references its source but does not check that information while announcing do so?,When it resolves.,When the ability is put onto the stack.,When the source first enters the battlefield.,When the controller’s turn begins.
"If an activated or triggered ability refers to its source but that source is no longer in the zone it’s expected to be in, what information is used to resolve the ability?",Its last known information is used.,The ability is ignored.,A new instance of the source is created.,The ability is moved to the battlefield.
