question,answer,first_wrong_answer,second_wrong_answer,third_wrong_answer
When must all face‑down conspiracy cards be revealed to all players?,At the end of each game.,At the start of the next game.,When a player draws a card.,They are never revealed.
What must be done with all face‑down conspiracy cards at the end of each game?,They must be revealed to all players.,They must be discarded into the graveyard.,They must be returned to the command zone.,They must be shuffled back into their owners’ libraries.
What is double agenda in the context of conspiracy cards?,a variant of the hidden agenda ability,a type of creature that can be played twice per turn,a card that grants two extra mana when cast,a rule that allows a player to skip their next draw step
"When you put a conspiracy card with double agenda into the command zone, what must you do?",Secretly name two different cards rather than one,Reveal one chosen card immediately to all players,Draw two additional cards from your library,Tap an opponent’s creature to pay the additional cost
At what point are the secretly chosen names of a double agenda conspiracy card revealed?,When you reveal the chosen names during the card’s resolution,Immediately after the card is placed in the command zone,At the beginning of each of your turns,"At the end of the game, regardless of when the card was used"
What does the activated ability Outlast do?,"Add a +1/+1 counter to the creature when you pay its cost and tap it, and it can only be activated as a sorcery.",Deal 1 damage to target creature.,Give the creature haste.,Prevent all damage that would be dealt to the creature until end of turn.
When can Outlast be activated?,Only as a sorcery.,Any time you have priority.,Only during your upkeep.,Only during combat.
"When a creature has multiple instances of prowess, how many times does its prowess trigger each time you cast a non‑creature spell?",Each instance triggers separately.,Only one instance triggers.,It triggers only for the first instance.,It never triggers.
What does a creature with the Exploit ability allow you to do when it enters the battlefield?,sacrifice a creature,destroy an opponent’s creature,return a creature to its owner’s hand,give the creature flying
When does the Exploit ability trigger?,When the creature enters the battlefield,When the creature attacks,When the creature blocks,When the creature dies
What effect does a creature’s Renown ability have when it deals combat damage to a player for the first time?,It puts N +1/+1 counters on itself and becomes renowned.,It gains flying until the end of turn.,It returns a creature from the graveyard to the battlefield.,It discards all cards in the opponent’s hand.
"What does the ""renowned"" designation mean for a permanent?",It acts as a marker that the renown ability and other spells or abilities can identify.,It is a new creature type.,It gives a permanent an extra action each turn.,It removes all counters from the permanent.
Which permanents can become renowned?,"Only permanents (creatures, artifacts, enchantments, etc.) can become renowned.",Only creatures can become renowned.,Only lands can become renowned.,Any card in a player’s hand can become renowned.
How long does a permanent remain renowned once it becomes so?,It stays renowned until it leaves the battlefield.,It stays renowned only until the next upkeep.,It stays renowned only until the next combat phase.,It stays renowned until the player who cast it leaves the game.
What can become renowned?,"All of the above (creatures, planeswalkers, artifacts, etc.)",Only creatures,Only spells,Only lands
What remains true about a renowned permanent?,It stays renowned until it leaves the battlefield.,The renowned status can be removed at will.,Renowned is an ability that can be copied.,Renowned is part of the permanent’s copiable values.
Renowned is best described as:,A status marker that indicates a permanent has gained renown.,An inherent ability of the permanent.,A characteristic that changes on each copy of the permanent.,A value that is copied with the permanent.
"Is ""Renowned"" an ability in Magic: The Gathering?","No, Renowned is not an ability.","Yes, Renowned is an ability.",Renowned is a keyword ability.,Renowned can be copied by other permanents.
"Does the ""Renowned"" designation become part of a permanent’s copiable values?","No, Renowned is not part of the permanent’s copiable values.","Yes, Renowned is part of the copiable values.",Renowned is copied when the permanent is copied.,Renowned is included in the permanent’s copy.
"If a creature has multiple instances of renown, what happens to the triggers?","Each trigger resolves separately, but only the first makes the creature renowned; subsequent triggers have no effect.",All triggers combine to give the creature double renown.,Only the last trigger matters and causes the creature to become renowned.,"Renown can stack, giving the creature multiple copies of the ability."
"When several renown abilities trigger on the stack, what occurs when the first one resolves?","It causes the creature to become renowned, and any later renown abilities have no effect.",It simply puts a reminder text on the stack.,The creature loses all other abilities.,The creature is destroyed and replaced by a copy.
What does the static ability of Awaken do while the spell is on the stack?,It allows you to pay the awaken cost instead of the spell’s mana cost.,It gives the spell flying until it resolves.,It grants the caster an extra mana of any color.,It lets the spell be countered for free.
What happens when the awaken cost is paid and the Awaken spell resolves?,"It puts N +1/+1 counters on target land you control, turning that land into a 0/0 Elemental creature with haste.",It creates a 0/0 Elemental creature token that stays on the battlefield.,It destroys all lands controlled by the opponent.,It turns all lands into 0/0 Elemental creatures with no counters.
Which of the following is true about a land that has been turned into a 0/0 Elemental creature by Awaken?,It has N +1/+1 counters and gains haste as a creature.,It becomes a 3/3 creature with trample.,It remains a land but gains flying.,It loses its ability to be targeted by spells.
What does “Awaken N—[cost]” allow you to do when casting a spell?,You may pay [cost] rather than the spell’s mana cost as you cast it.,"Instead of paying the normal cost, you must pay the spell’s mana cost.",The spell is still cast but with a different payment.,It forces you to pay the spell’s mana cost.
"If you pay the awaken cost of a spell that has awaken, what happens to the target land?","N +1/+1 counters are placed on it, and it becomes a 0/0 Elemental creature with haste while remaining a land.",It is put into the graveyard immediately.,It turns into a 3/3 creature without any abilities.,It gains lifelink but stays a normal land.
How many +1/+1 counters are placed on the target land when the awaken cost is paid?,N +1/+1 counters.,N −1/−1 counters.,1 +1/+1 counter regardless of N.,0 +1/+1 counters.
What creature type does the target land become after its awaken cost is paid?,Elemental.,Human.,Goblin.,Elf.
What special ability does the awakened land creature have?,Haste.,Lifelink.,Flying.,Trample.
Does the land retain its land status after awakening?,"Yes, it’s still a land.","No, it becomes a creature only.",It becomes an artifact.,It becomes a planeswalker.
What creature type does a land become when it uses its awaken ability?,Elemental,Dragon,Human,Angel
What special ability does an awakened land acquire?,Haste,Flying,First strike,Lifelink
What power and toughness does an awakened land have?,0/0,3/3,1/1,5/5
Under what condition does the controller of an awaken spell choose the target of the awaken spell ability?,Only if the controller chooses to pay the spell’s awaken cost.,The target is always chosen regardless of payment.,The target is chosen only if the opponent pays the awaken cost.,The spell never requires a target once it has awaken.
"If the controller of an awaken spell does not pay the awaken cost, how is the spell cast?",The spell is cast as if it didn’t have that target.,The spell fails to resolve and is returned to the hand.,The spell still targets an opponent’s creature automatically.,The spell gains an additional random target.
What occurs if a player chooses not to pay a spell’s awaken cost?,The spell is cast as if it didn’t have that target.,The spell is cast with an alternate cost.,The spell is not cast at all.,The spell is cast with a random target.
What does the keyword Devoid mean?,Devoid means the object is colorless.,The object has no power or toughness.,The object cannot be enchanted or equipped.,The object is considered an artifact regardless of its type.
What type of ability is Ingest?,Ingest is a triggered ability.,Ingest is a static ability.,Ingest is an activated ability.,Ingest is a keyword ability that functions like a replacement effect.
What happens when a creature with the keyword ability Ingest deals combat damage to a player?,The player exiles the top card of their library.,The player discards a card.,The player gains life equal to the damage dealt.,The creature becomes tapped.
What does the keyword Myriad do when a creature with it attacks?,"Whenever this creature attacks, for each opponent other than the defending player, you may create a tapped token copy of it that attacks that opponent or a planeswalker they control. If any such tokens are created, they are exiled at end of combat.",The creature becomes untapped immediately after attacking.,It grants flying to all your creatures.,It allows you to draw a card for each creature you control.
What is the delayed triggered ability associated with Myriad?,"At end of combat, the tokens created by Myriad are exiled.","At the beginning of your next upkeep, you may put a card from your graveyard onto the battlefield.","During your opponent's next combat phase, you may tap a creature.","During the first combat phase of the game, all creatures gain haste."
What happens to tokens created by Myriad at end of combat?,They are exiled.,They return to the battlefield as tapped creatures.,They are returned to the owner's hand.,They are sacrificed.
When are the myriad tokens exiled?,At the end of combat if one or more tokens were created.,At the beginning of the next turn.,When the creature dies.,Only if the creature is blocked.
What happens when a creature has multiple instances of myriad?,Each instance triggers separately.,They combine into a single trigger.,They cancel each other out.,They only trigger once for the first instance.
What does the Surge ability allow you to do when casting a spell?,Pay the Surge cost instead of the spell’s regular mana cost if you or a teammate has cast another spell this turn.,You may skip the spell entirely.,You may cast the spell without paying any mana.,You may only cast the spell during your opponent’s turn.
When does the Surge ability function?,While the spell with Surge is on the stack.,Only after the spell resolves.,Only while you control a creature with Surge.,Only during your main phase.
What does the Surge ability allow a player to do when casting a spell?,Pay an alternative cost if the player or a teammate has already cast a spell this turn,Cast the spell without paying any mana at all,Cast the spell only during the opponent’s turn,Pay double the spell’s normal mana cost
What effect does the Skulk ability grant to a creature?,It cannot be blocked by creatures with greater power,It gains flying and can’t be blocked by land,It becomes untapped after attacking,It receives first‑strike damage each combat phase
What does Skulk allow a creature to do?,It prevents a creature with Skulk from being blocked by any creature that has greater power.,It allows a creature with Skulk to ignore damage from larger creatures.,It lets a creature with Skulk deal extra damage when attacking.,It allows a creature with Skulk to block more creatures than usual.
Can a creature with Skulk be blocked by a creature with greater power?,"No, it cannot be blocked by a creature that has greater power.","Yes, it can be blocked by any creature, regardless of power.",It can only be blocked if the blocking creature is tapped.,It can be blocked only if the blocking creature has a specific ability.
Are multiple instances of Skulk on the same creature meaningful?,"No, multiple instances are redundant and have no additional effect.","Yes, each instance adds an extra level of evasion.","Yes, each instance increases the creature’s power.","Yes, each instance allows the creature to activate an additional ability."
What is the alternative cost for casting a spell that has the emerge ability?,Pay the emerge [cost] and sacrifice a creature; the spell’s total cost is then reduced by generic mana equal to the sacrificed creature’s mana value.,Pay only the spell’s mana cost.,Sacrifice a creature but pay the full mana cost.,Pay the emerge cost and sacrifice an artifact instead.
"When you cast a spell using its emerge ability, how is its total cost affected?",It is reduced by an amount of generic mana equal to the sacrificed creature’s mana value.,It increases by the creature’s mana value.,It remains unchanged.,It is reduced by the creature’s power.
Which rules govern the payment of an alternative cost such as emerge?,Rules 601.2b and 601.2f–h.,Rules 603.1 and 603.2.,Rules 702.118 and 702.119.,Rules 701.5 and 701.6.
"What does the ability ""Emerge from [quality] [cost]"" allow you to do?",You may cast the spell by paying [cost] and sacrificing a [quality] permanent instead of paying its mana cost.,Sacrifice a creature and pay double the mana cost.,Pay the spell’s mana cost and draw a card.,Cast the spell only during your upkeep.
What happens to a spell’s total cost when you pay its emerge cost?,Its total cost is reduced by generic mana equal to the sacrificed permanent’s mana value.,Its total cost is increased by that amount of generic mana.,Its total cost is reduced by that amount of colored mana.,The spell’s total cost remains unchanged.
"When casting a spell with an “Emerge from [quality]” cost, how does a player determine which permanent to sacrifice?","The player chooses a permanent as they choose to pay the spell’s emerge cost, and then sacrifices that permanent as they pay the total cost.",The player must sacrifice all permanents of that quality.,The player chooses the permanent only after the spell resolves.,"The player may choose any permanent on the battlefield, regardless of quality."
At what point does the chosen permanent get sacrificed during the payment of an “Emerge from [quality]” cost?,The chosen permanent is sacrificed as the player pays the total cost of the spell.,The permanent is sacrificed only after the spell resolves.,The permanent is sacrificed before the player selects the cost to pay.,The permanent is never actually sacrificed; it merely gets tapped.
What does the phrase “Escalate [cost]” mean?,"For each mode you choose beyond the first as you cast this spell, you pay an additional [cost].","For each creature you summon, you pay an additional cost.",You must pay the same cost for each mode you choose.,The cost applies after the spell resolves.
"If you cast a spell with Escalate and choose three modes, how many additional costs must you pay?",Two additional costs.,Three additional costs.,One additional cost.,No additional costs.
When does the Escalate ability apply during the casting of a spell?,"While the spell is on the stack, as you choose modes.",After the spell resolves.,During the combat phase.,While the spell is in the graveyard.
What does the keyword ability *Melee* do to a creature when it attacks?,"Whenever the creature attacks, it gets +1/+1 until end of turn for each opponent you attacked with a creature this combat.",It grants the creature double strike.,It allows the creature to attack multiple opponents at once.,It gives the creature +2/+2 for each creature it attacks.
"If you attack one opponent with a creature that has *Melee*, how many +1/+1 boosts does that creature receive?",It receives +1/+1 (one boost for the single opponent it attacked).,It receives +2/+2.,It receives +1/+1 for each creature it attacked that opponent with.,It receives +3/+3.
What does the keyword ability *Melee* do?,"Whenever this creature attacks, it gets +1/+1 until end of turn for each opponent you attacked with a creature this combat.",It gets +1/+1 for each creature you attack with this combat.,It gets +1/+1 for each creature that attacked it this combat.,It allows the creature to attack twice per combat.
"If a creature has multiple instances of *Melee*, what happens?",Each instance triggers separately.,Only one instance triggers.,The creature gets double the boost for each instance.,The creature does not trigger at all.
What is the *Crew* ability?,Crew is an activated ability of Vehicle cards.,Crew is a triggered ability of Creature cards.,Crew is a replacement effect that allows you to sacrifice a creature to give a vehicle power.,Crew is a static ability that gives a vehicle flying.
What is the crew ability on Vehicle cards?,Crew is an activated ability of Vehicle cards.,Crew is a triggered ability of creature cards.,Crew is a static ability that applies automatically.,Crew allows you to tap a Vehicle without any cost.
What type of ability is crew?,Crew is an activated ability.,Crew is a static ability.,Crew is a triggered ability.,Crew is a replacement effect.
What does the keyword “Crew N” mean when it appears on a Vehicle?,Tap any number of other untapped creatures you control whose total power is N or greater: this permanent becomes an artifact creature until end of turn.,Tap any number of creatures regardless of power; the permanent becomes a creature with N power.,Sacrifice N creatures to make the permanent an artifact creature.,Give N creatures +1/+1 until end of turn.
What happens to a Vehicle when its crew ability is activated?,The Vehicle becomes an artifact creature until end of turn.,The Vehicle is untapped and remains just a Vehicle.,The Vehicle is tapped but stays a Vehicle.,The Vehicle gains +1/+1 until end of turn.
How does a creature “crew” a Vehicle?,By tapping it to pay the crew cost of the Vehicle.,By untapping it before the cost is paid.,By sacrificing the creature to the Vehicle.,By paying mana equal to the creature’s power.
What happens when a creature “crews” a Vehicle?,It is tapped to pay the crew cost of the Vehicle.,The Vehicle becomes a creature that can attack.,The creature gains the ability “Crew” for the turn.,The Vehicle’s power and toughness are doubled.
Why does a creature “crew” a Vehicle?,To pay the cost to activate the Vehicle’s crew ability.,To allow the Vehicle to gain haste.,To grant the creature flying for the turn.,To make the Vehicle untapped.
What happens to a creature if an effect states that it “can’t crew Vehicles”?,That creature can’t be tapped to pay the crew cost of a Vehicle.,The creature is removed from the battlefield.,The creature becomes an artifact creature until end of turn.,The creature may still crew a Vehicle but only once per turn.
What triggers a Vehicle’s ability that says “Whenever this Vehicle becomes crewed”?,Whenever a crew ability of that Vehicle resolves.,Whenever the Vehicle is tapped.,Whenever a creature attacks with that Vehicle.,Whenever the Vehicle’s controller declares an attack.
"If a Vehicle’s “when becomes crewed” ability includes an intervening “if” clause that refers to the creatures that crewed it, which creatures cause the ability to trigger?",Only creatures that were tapped to pay the cost of the crew ability that caused the trigger.,All creatures that have the word “Crew” in their name.,"Any creature on the battlefield, regardless of whether it tapped.",Creatures that are untapped when the Vehicle becomes crewed.
"In the context of 702.122d, what does “becomes crewed” specifically refer to?",The state achieved when a creature taps to pay the crew cost of the Vehicle’s crew ability.,The act of a creature attacking while attached to a Vehicle.,The Vehicle being moved from the battlefield to a graveyard.,The Vehicle being activated to move a creature from the graveyard to the battlefield.
What do partner abilities modify in the Commander variant?,"They modify the rules for deck construction, allowing you to designate two legendary cards as commanders instead of one.",They grant extra life at the beginning of the game.,They let you draw an additional card each turn.,They change the order of play for each turn.
When do partner abilities function during a game of Commander?,They function before the game begins.,They trigger at the start of each combat phase.,They activate only after the first card is drawn.,They occur at the end of each player's turn.
How many legendary cards can you designate as commanders if a card has a partner ability?,Two.,One.,Three.,Four.
What does a partner ability allow you to designate as your commander?,Two legendary cards,One legendary card,Three legendary cards,Two non‑legendary cards
What partner abilities are mentioned in the paragraph?,"partner, partner with [name], friends forever, choose a Background, Doctor’s companion","partner, double strike, flying, first strike, lifelink","ally, commander, mentor, companion, advisor","commander’s choice, teammate, allyship, partnership, co‑leader"
How many cards must a Commander deck contain?,"exactly 100 cards including the two commanders, 99 cards, 100 cards excluding the commanders, 200 cards",99 cards,100 cards excluding the commanders,200 cards
Where do the commanders begin the game in Commander?,"both commanders begin the game in the command zone, battlefield, hand, graveyard",battlefield,hand,graveyard
"When a rule or effect refers to a commander’s color identity in a deck that contains two commanders, what does it refer to?",The combined color identities of the two commanders,Only the color identity of the commander that was cast first,Only the color identity of the commander that is currently in the command zone,The individual color identities of each commander separately
Which rule number specifies that a commander’s color identity in a two‑commander deck is the combination of both commanders?,702.124c,702.124b,702.124d,903.4
"When you cast a commander that has the partner ability, what factor do you ignore regarding your other commander?",Ignore how many times your other commander has been cast.,Ignore how many times you have cast any spells.,Ignore how many times your commander has entered the battlefield.,Ignore how many times your commander has been dealt combat damage.
"When checking if a player has taken 21 or more combat damage from a commander, how should the damage be considered if you control two commanders?",Consider damage from each of your two commanders separately.,Count the damage from both commanders together as a single total.,Ignore any damage dealt by the second commander.,Treat damage from any commander as a single pooled amount regardless of which one dealt it.
"When an effect that refers to ""your commander"" could affect both of your commanders, what must you do?",Choose which commander it refers to at the time the effect is applied.,The effect automatically applies to both commanders.,The effect applies only to the commander with the higher power.,The effect is ignored if both commanders could be affected.
What is the rule regarding designating two commander cards when one has the keyword “partner” and the other has “partner with [name]”?,You cannot designate both cards as your commanders.,You can designate both cards as your commanders.,You can designate both cards only if they are the same name.,"You may designate both cards, but only one may attack each turn."
Which rule states that different partner abilities are distinct from one another and cannot be combined when selecting commanders?,"702.124f, which says different partner abilities are distinct and cannot be combined.","702.124g, which states a legendary card can have multiple partner abilities simultaneously.","702.124e, which explains that a single partner ability can be used with any other ability.","702.124d, which allows a player to have more than two commanders if partner abilities are combined."
Can a legendary card that has more than one partner ability use all of them when designating your commander?,"No, you may use only one partner ability for that card when designating your commander.","Yes, you can use all of them simultaneously.",You can use one partner ability for each commander you have.,You can use partner abilities only if you already have two commanders.
Can any partner ability or combination of partner abilities allow a player to have more than two commanders?,"No, no partner ability or combination can ever let a player have more than two commanders.","Yes, you can have three commanders if you combine partner abilities.",Only certain partner abilities allow a third commander.,It depends on the specific legendary cards involved.
What is the maximum number of commanders a player can have when using partner abilities?,Two,Three,One,Four
What does the partner keyword ability allow in the commander format?,It lets a player have two legendary creature commanders instead of one if each has partner.,It allows a player to play two commanders of any type.,It requires each commander to have the same mana cost.,It prohibits a player from choosing any other commander.
What is required for two legendary creatures to be used as commanders via the partner keyword?,Each must have the partner keyword ability.,Both must have identical names.,Both must be colored black.,At least one must have the keyword ability “first strike.”
What does the “Partner with [name]” ability allow a player to do with commanders?,You may designate two legendary creature cards as your commander rather than one if each has a “partner with [name]” ability naming the other.,You can choose one legendary creature to be your commander and give it all your other commanders.,The ability lets you recruit a non‑legendary creature as a second commander.,It forces you to discard your existing commander before you can choose a new one.
What effect triggers when a permanent bearing the “Partner with [name]” ability enters the battlefield?,"The target player may search their library for a card named [name], reveal it, put it into their hand, then shuffle.",The permanent deals damage equal to its power to the target player.,All creatures on the battlefield get +1/+1 until end of turn.,The permanent gains trample and loses its partner ability.
What does the “Choose a Background” ability allow when selecting commanders?,You may designate two cards as your commander instead of one if one of them is this card and the other is a legendary Background enchantment card.,You may designate any two legendary creature cards as your commander.,You may only have one commander.,"You may designate any legendary card as your commander, regardless of background."
What must the second commander be when one of your commanders has the “Choose a Background” ability?,The second commander must be a legendary Background enchantment card.,The second commander can be any legendary creature card.,The second commander must share the same name as the first commander.,The second commander can be a non‑legendary card.
Can a legendary Background enchantment card be chosen as a commander on its own?,"No, it cannot be chosen unless you also have a commander with the “Choose a Background” ability.","Yes, it can be chosen alone.","No, it can only be chosen if it is a creature.","Yes, it can be chosen with any commander."
"When a rule states that “if an effect refers to a partner ability by name, it means only that partner ability and not any others,” what does that mean for the interaction of partner abilities?","It limits the effect to the exact partner ability named, excluding all other partner variants.","It allows the effect to apply to any card that has a partner ability, regardless of the name.",It makes the effect apply only to cards that have both partner and an additional ability.,"It restricts the effect to only legendary creatures, no matter the partner ability."
"If an effect mentions “the partner ability” or “cards with partner” without naming a specific variant, to which abilities does the effect refer?","It refers only to partner, partner with a specified name, or cards with either of those abilities, and not to any other partner variant.","It applies to all partner abilities, including those with additional requirements or restrictions.","It targets only the cards that are the first partner in a pair, regardless of the second partner’s name.","It covers all legendary cards that can be used as partners, no matter whether they actually have the partner keyword."
"If an effect refers to the partner ability or cards with partner but does not mention a specific variant by name, which partner abilities does it refer to?","It refers only to the partner ability, partner with [Name], or cards that have either of those abilities.","It refers to all partner variants, regardless of their specific names.","It refers only to the original partner ability, ignoring all variants.","It refers to any ability that contains the word “partner” in its text, even if it is not a partner variant."
What does the Undaunted ability do to a spell’s casting cost?,It reduces the spell’s cost by {1} for each opponent you have.,It increases the spell’s cost by {1} for each opponent you have.,It reduces the spell’s cost by {1} for each creature you control.,It gives the spell a +1/+1 counter.
What happens to a player who has left the game when counting opponents for the Undaunted cost reduction?,They are not counted as an opponent.,They are counted as an opponent.,They are only counted if they left after the spell was cast.,They are counted as an opponent if they are on your team.
"If a spell contains more than one instance of the keyword *undāunted*, how many times does its cost‑reduction effect apply?","Each instance applies, reducing the cost once per instance.","Only once, regardless of the number of instances.",Only if the instances come from the same card.,The cost is unchanged; the keyword cancels out.
What does the “Improvise” ability do?,You may tap an untapped artifact you control instead of paying each generic mana in the spell’s total cost.,You can tap a creature to cast a spell.,The ability applies only after the spell’s total cost is determined.,It lets you use an artifact as a permanent replacement for all mana costs.
When does the “Improvise” ability function?,While the spell with improvise is on the stack.,Only during the spell’s resolution.,Only when the spell is on the battlefield.,Only after the spell has been cast and removed from the stack.
What does the improvise ability allow a player to do when casting a spell?,Tap an untapped artifact the player controls to pay for each generic mana in the spell’s total cost.,Pay an additional loyalty cost to the spell’s controller.,Force an opponent to discard a card when the spell resolves.,Grant flying to all creatures the player controls until end of turn.
How is “Improvise” defined in the rules for a spell’s cost?,"For each generic mana in the spell’s total cost, the caster may tap an untapped artifact they control instead of paying that mana.",It allows the caster to draw two extra cards whenever the spell is cast.,It requires the caster to sacrifice a creature for each generic mana in the spell’s cost.,It grants the spell protection from counterspells for one turn.
Does the improvise ability count as an additional or alternative cost?,"No, it does not.","Yes, it is an alternative cost.","Yes, it is an additional cost.",It is neither a cost nor a benefit.
When does the improvise ability apply?,Only after the total cost of the spell with improvise is determined.,During the spell’s casting phase before the total cost is known.,At the beginning of the combat phase.,When the spell is resolved on the battlefield.
What are the three static abilities represented by the Aftermath keyword on a split card?,"You may cast this half of the split card from your graveyard. This half of the split card can only be cast from a graveyard. If this spell was cast from a graveyard, it exiles instead of leaving the stack.",You may cast this half of the split card from your hand.,This half of the split card can be cast from any zone.,"After it is cast, it goes to the battlefield and remains there."
From which zone can a half of a split card with the Aftermath keyword be cast?,The graveyard.,The hand.,The battlefield.,The library.
What zone can you cast a split card’s half with the Aftermath ability from?,Graveyard,Library,Hand,Battlefield
Which statement correctly describes the casting restriction for a split card half that has Aftermath?,It can only be cast from the graveyard.,It can be cast from any zone.,It cannot be cast at all.,It can only be cast from the battlefield.
What happens to a spell with Aftermath after it is cast from the graveyard and would leave the stack?,It is exiled instead of going elsewhere.,It goes back to the graveyard.,It is returned to the hand.,It is shuffled back into the library.
What happens when you activate the Embalm ability of a card?,"It exiles the card from your graveyard and creates a token that’s a copy of that card, but the token is white, has no mana cost, and is a Zombie in addition to its other types.",The card is put into your hand and you may cast it again.,The card becomes a permanent on the battlefield without a cost.,The card is returned to the graveyard with a new color.
Under what conditions can you activate the Embalm ability of a card?,Only while the card is in its owner’s graveyard and only as a sorcery.,While the card is on the battlefield during your main phase.,Whenever you pay the card’s mana cost.,"When the card is in your hand, regardless of timing."
What type of token is produced by the Embalm ability?,A white token with no mana cost that is a copy of the original card and also a Zombie.,A black token that costs five mana to cast.,A red token that is a copy of the original card but gains flying.,A green token that is a copy of the original card and has the ability to tap for mana.
What must be done to activate an Embalm ability on a card in your graveyard?,"Pay the required cost, exile the card from your graveyard, and create a token that is a copy of the card but is white, has no mana cost, and has the Zombie subtype in addition to its other types.","Pay the cost, sacrifice the card, and put it onto the battlefield as it is.","Pay the cost, return the card to your hand, and then play it normally.","Pay the cost, exile the card from your opponent’s graveyard, and create a creature token of the card’s original type."
Which of the following is true about the token produced by Embalm?,"The token is white, has no mana cost, and gains the Zombie subtype in addition to the original card’s types.",The token keeps the original card’s mana cost and color but gains the Zombie subtype.,The token is a black creature with the same mana cost as the original card.,The token is a copy of the original card with no changes to its color or type.
Where can an Embalm ability be activated from?,From the graveyard of the card that has the Embalm ability.,From the battlefield where the card is playing.,From the exile zone of the card that has the Embalm ability.,From any zone except the graveyard or exile zone.
What timing restriction applies to the Eternalize ability?,Only as a sorcery.,Only during your upkeep.,Only during combat.,At instant speed.
"When a creature with Afflict N becomes blocked, what happens?",The defending player loses N life.,The defending player gains N life.,You must pay N mana.,You draw N cards.
What happens when a creature that has the ability *Afflict N* becomes blocked?,The defending player loses N life.,The attacking player loses N life.,The creature deals N damage to the blocking creature.,The blocking creature loses N life.
"When a creature has more than one instance of the keyword Afflict, what occurs each time it becomes blocked?","Each instance of Afflict triggers separately, causing the defending player to lose life for each instance.","Only the highest‑value Afflict instance triggers, and the others are ignored.","The creature only triggers Afflict once, regardless of how many copies it has.",The creature's controller must pay a cost for each Afflict trigger.
"What effect does the keyword Ascend produce when you cast an instant or sorcery spell, given that you control ten or more permanents and you do not already have the City’s Blessing?",You receive the City’s Blessing for the rest of the game.,You may discard an extra card as part of the spell’s cost.,The spell deals damage equal to the number of permanents you control.,Nothing happens; the spell resolves normally without any additional effect.
What does the Ascend ability do when cast from an instant or sorcery spell?,Gives the controller the city’s blessing if they control ten or more permanents and don’t already have it.,Lets you cast an additional spell for free.,Allows you to attack all creatures at once.,Grants you an extra life point.
Under what conditions do you gain the city’s blessing via Ascend?,When you control ten or more permanents and don’t already have the city’s blessing.,When you control exactly five permanents.,When you have no permanents on the battlefield.,When you are the first player to act in a turn.
What type of ability does Ascend represent on an instant or sorcery spell?,A spell ability.,A static ability.,A triggered ability.,A replacement effect.
What does the ascend ability trigger on a spell do?,"If you control ten or more permanents and you don’t have the city’s blessing, you get the city’s blessing for the rest of the game. Wrong: If you control ten or more creatures and you already have the city’s blessing, you get another blessing. Wrong: If you control any number of permanents, you automatically gain the city’s blessing. Wrong: If you control ten or more permanents, you lose your city’s blessing for the rest of the game.","If you control ten or more creatures and you already have the city’s blessing, you get another blessing.","If you control any number of permanents, you automatically gain the city’s blessing.","If you control ten or more permanents, you lose your city’s blessing for the rest of the game."
What happens when Ascend is on a permanent and you control ten or more permanents without already having the city’s blessing?,"Any time you control ten or more permanents and you don’t have the city’s blessing, you get the city’s blessing for the rest of the game.",You may tap all your permanents for extra mana.,You draw two cards.,You sacrifice one permanent.
"When Ascend is present on a permanent, how is it treated in terms of ability type?",It is a static ability.,It is a triggered ability.,It is an activated ability.,It is a cost.
Under what condition do you receive the city’s blessing?,When you control ten or more permanents and you don’t already have it.,When you cast an instant spell.,When an opponent’s creature dies.,When you have a mana pool of at least five.
How long does the city’s blessing last once you acquire it?,For the rest of the game.,Until the next time you cast a creature spell.,Until you lose all permanents from the battlefield.,Only during your next turn.
What does the city’s blessing represent in the rules?,A designation that acts as a marker for other rules and effects.,A permanent creature you can attack with.,A mana cost reduction for spells.,A special type of enchantment that cannot be countered.
What is the purpose of the city’s blessing?,It serves as a designation that acts as a marker other rules and effects can identify.,It determines the amount of life a player starts with.,It allows a player to draw an extra card each turn.,It is a cost that must be paid to cast spells.
How many players can have the city’s blessing at the same time?,Any number of players may have the city’s blessing.,Only the player who controls the most permanents can have it.,Only the active player can have the city’s blessing.,Only one player can have the city’s blessing at a time.
What does the Assist keyword ability do?,"It allows you, when casting a spell with Assist, to choose another player who can activate mana abilities before you pay the spell’s cost.",It lets you add an extra copy of the spell to the stack.,It reduces the spell’s casting cost by 1 generic mana.,It causes the spell to target all creatures.
"After the chosen player stops activating mana abilities during Assist, who then has the next opportunity to activate mana abilities?",The original caster.,The chosen player again.,Any other player on the battlefield.,The player who paid the most generic mana.
"During Jump‑Start, before the activating player starts paying the spell’s total mana cost, who can pay any amount of the generic mana?",The player chosen by the activating player may pay any amount of the generic mana.,Only the activating player may pay.,Only the opponent may pay.,No one can pay any amount before the cost is paid.
What does the jump‑start ability allow a player to do with a card in their graveyard?,"You may cast the card from your graveyard by discarding a card as an additional cost, but only if the resulting spell is an instant or sorcery.",You may put the card onto the battlefield directly.,You may search your library for the card.,You may sacrifice the card to pay life.
"If a spell is cast using its jump‑start ability, what happens to that card when it would leave the stack?",It is exiled instead of going anywhere else.,It goes to the graveyard.,It is returned to the hand.,It is shuffled back into the library.
What are the two static abilities represented by jump‑start?,One that functions while the card is in a graveyard and another that functions while the card is on the stack.,One that triggers when you cast a spell and another that triggers when you cast a creature.,One that gives a creature haste and another that gives it vigilance.,One that allows you to tap an opponent’s lands and another that lets you draw a card.
