question,answer,first_wrong_answer,second_wrong_answer,third_wrong_answer
Why did the attacking player not attack with the smallest creature?,Because it was too easy to destroy and might be useful for blocking on the opponent’s next turn,Because it had the highest power,Because the opponent had a flying creature,Because the rules forbid attacking with more than three creatures
What happens to the creatures when they are declared as attackers?,They become tapped,They are returned to the owner's hand,They are placed in the graveyard,They become untapped
What triggered ability does Phantom Warrior have when Messenger Drake dies?,Draw a card.,Deal damage equal to the number of cards in your graveyard.,Return a creature you control to its owner's hand.,Prevent all combat damage this turn.
Which ability prevents a creature from being blocked?,It can’t be blocked.,It’s indestructible.,It’s a flying creature.,It has first strike.
What creature type line is associated with Phantom Warrior?,Creature — Illusion Warrior.,Artifact — Equipment.,Enchantment — Aura.,Legendary Planeswalker.
What does the keyword ability Islandwalk grant a creature?,It prevents the creature from being blocked as long as the defending player controls an Island.,It allows the creature to attack if the defending player controls an Island.,It grants the creature flying when the defending player controls an Island.,It makes the creature unblockable if the attacking player controls an Island.
What happens when Merfolk Spy deals combat damage to a player?,The player reveals a random card from their hand.,The player draws a card.,The player loses life equal to the damage dealt.,The player mills a card.
What does the keyword ability *Islandwalk* allow a creature to do?,Prevent it from being blocked as long as the defending player controls an Island.,Let it ignore all damage it would receive.,Grant it the ability to move through any terrain.,Give it flying.
What happens when *Merfolk Spy* deals combat damage to a player?,The player reveals a card at random from their hand.,The player loses 2 life.,The player draws two cards.,The player puts a card from hand into their graveyard.
How many +1/+1 counters does Voracious Wurm enter the battlefield with?,"X +1/+1 counters, where X is the amount of life you’ve gained this turn.",3 +1/+1 counters regardless of life gain.,It enters with no counters.,It enters with +1/+1 counters equal to the number of cards in your hand.
"In Voracious Wurm's enter-the-battlefield effect, what does X stand for?",The amount of life you’ve gained this turn,The amount of life you’ve lost this turn,The number of creatures you control,A random number chosen by the game
"If you gain 7 life this turn, how many +1/+1 counters does Voracious Wurm enter the battlefield with?",7 +1/+1 counters,6 +1/+1 counters,10 +1/+1 counters,0 +1/+1 counters
What is the effect of Merfolk Spy’s Islandwalk ability?,It prevents the creature from being blocked as long as the defending player controls an Island.,It allows the creature to untap during the player’s next upkeep.,It grants the creature +1/+1 while an Island is on the battlefield.,It lets the creature ignore all other types of terrain.
What happens when Merfolk Spy deals combat damage to a player?,The player reveals a random card from their hand.,The player draws a card and discards two.,The player loses 3 life.,The player gains a counter that says “Random.”
What does hexproof mean?,Hexproof (This creature can’t be the target of spells or abilities your opponents control.),This creature can’t be blocked.,This creature has flying.,This creature has haste.
Which keyword ability prevents a creature from being targeted by spells or abilities your opponents control?,Hexproof (This creature can’t be the target of spells or abilities your opponents control.),Hexproof (This creature cannot attack your opponent directly.),Hexproof (This creature ignores damage from combat).,Hexproof (This creature is immune to enchantments).
What can a defending player do when they have fewer blockers than attackers?,They may assign blockers to some of the attacking creatures and let the others pass through.,They must assign a blocker to every attacker even if none are available.,All attackers are automatically blocked regardless of available blockers.,The combat ends immediately without any blockers.
Who gets to decide which attackers are blocked when multiple creatures attack?,The defending player decides which attackers to block and which to let through.,The attacking player chooses the blockers.,The game judge assigns the blockers.,Blockers are assigned automatically to all attackers.
What is the maximum number of attackers that the defending player can assign blockers to in the highlighted scenario?,Two,One,Three,Zero
Who determines the blocking choices in the highlighted scenario?,The defending player,The attacking player,The judge,Random chance
What happens to the attacker that is not blocked in the highlighted scenario?,It is allowed to attack through,It gets countered,It returns to its owner's hand,It is tapped
What ability does Messenger Drake have when it dies?,It allows the controller to draw a card,It deals damage to the defending player,It returns a creature to its owner's hand,It gives all creatures +1/+1
Which keyword ability does Messenger Drake possess?,Flying,First strike,Deathtouch,Lifelink
What is the power and toughness of Messenger Drake?,3/3,1/1,2/2,4/4
What is the keyword ability “Flying”?,Allows a creature to attack and be blocked only by other creatures with Flying or Reach.,Lets a creature ignore all blockers.,Gives a creature the ability to move through solid ground.,Allows a creature to be blocked by any creature.
What happens when Messenger Drake dies?,You draw one card.,All creatures you control become tapped.,You gain life equal to Messenger Drake’s power.,All opponents lose 3 life.
What creature type does Messenger Drake belong to?,Drake.,Merfolk.,Goblin.,Elf.
What does the keyword ability *Islandwalk* allow a creature to do?,The creature can’t be blocked as long as the defending player controls an Island.,The creature can fly over islands.,The creature can only be blocked by other Islands.,The creature gains a +1/+1 bonus whenever an Island is in play.
What happens when Merfolk Spy deals combat damage to a player?,That player reveals a card at random from his or her hand.,The player draws a card.,The player discards a card.,The player may exile a card from the battlefield.
What does the keyword ability “Islandwalk” grant a creature?,It can’t be blocked as long as the defending player controls an Island.,It may fly over all other creatures.,It can destroy all lands when it enters the battlefield.,It gives the creature first strike.
What happens when Merfolk Spy deals combat damage to a player?,The player who was dealt damage reveals a card at random from their hand.,The attacking player gains 2 life.,The creature receives +1/+1 until end of turn.,The defender must discard two cards.
Which creature cannot be blocked?,Phantom Warrior,A creature that can’t be blocked,A creature that can block twice,A creature that can only block flying creatures
What does the keyword ability “hexproof” do?,It prevents the creature from being the target of spells or abilities your opponents control.,It keeps the creature untapped.,It makes the creature immune to damage.,It allows the creature to ignore summoning sickness.
What does the Flying keyword ability allow a creature to do?,It can only be blocked by creatures that also have flying or reach.,It lets the creature fly over the battlefield.,It gives the creature an extra attack each turn.,It allows the creature to draw a card when it dies.
What happens when Messenger Drake dies?,The player draws one card.,The player loses one life.,The player gets three damage.,The opponent draws a card.
Which keyword ability is associated with Messenger Drake’s primary combat capability?,Flying.,Deathtouch.,First‑strike.,Lifelink.
Who receives damage when an attacking creature is unblocked?,The defending player,The attacking creature,The attacking player’s opponent’s creatures,The attacking player’s own creatures
What happens when an attacking creature is blocked during combat?,The attacker and its blockers deal damage to each other,The attacker deals damage only to the defending player,The blocker deals damage only to the defending player,No damage is dealt at all
What happens to smaller creatures when combat damage is dealt?,They die,They are exiled,They survive but lose all abilities,They return to their owner's hand
What is the minimum number of cards that must be in a Magic deck?,60,40,55,70
How many copies of any single non‑basic land card may appear in a Magic deck?,4,2,3,5
Which cards are not subject to the maximum four‑copy rule in a Magic deck?,Basic lands,Creatures,Spells,Artifacts
How many lands should a 60‑card Magic deck contain according to the guideline?,24 lands,20 lands,30 lands,40 lands
What is the recommended number of creature cards in a typical 60‑card Magic deck?,15 to 25 creatures,5 to 10 creatures,30 to 35 creatures,40 to 45 creatures
Why are low‑cost creatures considered valuable early in a game?,They can be played immediately and help establish board presence,They are more expensive to cast than high‑cost creatures,They cannot attack until the second turn,They must be sacrificed each turn to draw a card
What advantage do high‑cost creatures provide when they enter the battlefield?,They can quickly win a game once they enter the battlefield,They automatically tap all opponent’s creatures,They are exempt from combat damage,They require an additional mana cost to activate abilities
Which card types are mentioned as rounding out a Magic deck?,"Artifacts, enchantments, planeswalkers, instants, sorceries",creatures,lands,cards
Which of the following card types is NOT listed as part of the cards that round out a deck?,lands,artifacts,enchantments,planeswalkers
What defines a format in Magic: The Gathering?,The set of cards that are legal to play in that format.,The color identity of the cards.,The mana cost of the cards.,The number of cards in a deck.
Which Magic format uses only the newest sets the game has to offer?,Standard,Legacy,Commander,Modern
What does the Golden Rule in Magic state?,The card wins when it contradicts the rulebook.,The rulebook wins.,The judge wins.,The player who cast the spell wins.
Which rule dictates that a card takes precedence over a rulebook rule when they conflict?,The Golden Rule.,The Judge's Authority.,The Library's Rule.,The Spell's Rule.
What does the Golden Rule say about a Magic card that contradicts the rulebook?,The card wins.,The rulebook wins.,A judge decides.,The card must be ignored.
"According to the standard rules, how do creatures normally enter the battlefield?",Untapped.,Tapped.,They enter tapped or untapped randomly.,They are always attacking.
What effect does the card Imposing Sovereign have on creatures your opponents control when they enter the battlefield?,They enter tapped.,They enter untapped.,They are sacrificed immediately.,They can’t attack.
Under what condition does Imposing Sovereign change the rules about creatures entering the battlefield?,While it is on the battlefield.,Only during your turn.,Only in multiplayer formats.,Only when you cast it from the graveyard.
Which step of a Magic: The Gathering turn usually has nothing happening?,Beginning of combat,Beginning of the turn,End step,Combat step
What does an opponent bring to a Magic game?,Their own deck,A deck of cards from a different game,No deck at all,A deck of trading cards from a non‑Magic set
How many players are required to play a standard game of Magic?,Two players,One player,Three players,"Any number of players, even one, as long as there is a deck"
What is the starting life total for each player?,20,10,30,15
Which of the following is a valid way to win the game?,Reducing your opponent’s life total to 0,Reducing your opponent’s life total to 10,Having no creatures on the battlefield,Drawing the most cards in a single turn
How is the first player chosen at the beginning of a new game?,"Decide which player will go first; if you’ve just played the same opponent, the loser of the last game decides; otherwise roll a die or flip a coin",The player with the higher life total goes first,The player who shuffled first goes first,The player with more cards in hand goes first
What must a player do with their hand before drawing a new hand during a mulligan?,"Shuffle the hand back into their deck, then draw a new hand of one fewer card.",Keep the hand and play it immediately.,Discard the hand and draw a new hand of the same size.,Shuffle the hand into the opponent’s deck.
What is the size of a player's new hand after the first mulligan?,Six cards.,Seven cards.,Five cards.,Eight cards.
"After drawing a new hand during a mulligan, what can a player decide?",Keep the hand or repeat the mulligan with one fewer card.,Must immediately play the hand.,Must shuffle the hand into the deck again.,Must discard all cards in the hand.
What is true about a turn in Magic: The Gathering?,It proceeds in the same sequence of steps and phases.,It can vary depending on the number of creatures on the battlefield.,It depends on the active player’s mana pool.,It is random and changes each game.
When do triggered abilities go on the stack during a turn?,When you enter a new step or phase.,At the end of the turn.,When you declare attacks.,After the stack resolves.
What happens to triggered abilities when a new step or phase begins?,They trigger and are put on the stack.,They are discarded.,They are moved to the graveyard.,They become activated abilities.
Which player has priority to cast spells and activate abilities first during a turn?,The active player.,The defending player.,Both players simultaneously.,The player with the most creatures on the battlefield.
What causes the game to advance to the next step or phase?,When both players decline to do anything and nothing is waiting to resolve.,When a creature deals combat damage.,When a spell resolves.,When a player casts an instant.
Who blocks your attacking creatures during combat?,The defending player,The attacking player,Both players together,The graveyard
"During the combat damage step, what actions are players permitted to take?",They can cast instants and activate abilities.,They can play lands.,They can cast sorceries.,They cannot take any actions.
Which type of spell is allowed to be cast during the combat damage step?,Instants.,Sorceries.,Enchantment spells.,Land spells.
What is the name of the step during which all tapped permanents become untapped?,Untap step,Upkeep step,End step,Beginning step
What cannot a player do during the untap step?,Cast spells or activate abilities,Untap all permanents,Draw a card from the library,Receive damage from opponents' creatures
What is the Upkeep step?,"The Upkeep step is the first step of a player’s turn after the untap step, during which abilities that trigger “at the beginning of your upkeep” happen and players can cast instants and activate abilities.",A player must pay mana to cast spells.,Players can only cast sorceries during this step.,All lands are automatically tapped during this step.
When does an ability that says “at the beginning of your upkeep” trigger?,"Right at the start of the Upkeep step, before any other actions are taken.",After the player draws a card.,After the player declares attackers.,After the player casts a sorcery.
Can you cast instants during the Upkeep step?,"Yes, you can cast instants and activate abilities during the Upkeep step.","No, you can only cast sorceries during this step.","No, you must wait until the main phase to cast instants.","No, instants can only be cast during the combat step."
What action is performed during the draw step of a Magic: The Gathering turn?,You draw a card from your library.,You play a land.,You untap all permanents.,You sacrifice a creature.
Which player skips the draw step on their first turn?,The player who goes first.,The player who goes second.,Both players skip it.,No player ever skips it.
"After drawing a card in the draw step, what can a player do?",Cast instants and activate abilities.,Draw another card.,Declare attackers.,Skip the rest of the turn.
What is the maximum number of lands a player may play in a single turn?,One land,Two lands,Three lands,Unlimited lands
"During a main phase, which of the following can a player cast?","Sorceries, instants, creatures, artifacts, enchantments, and planeswalkers",Only instants and sorceries,Only creatures and lands,Only artifacts and enchantments
Can a player cast a sorcery during their opponent’s main phase?,"No, only instants and abilities may be cast by the opponent","Yes, the opponent can cast sorceries too",Only if the opponent has no cards in hand,Only during the first main phase
How many main phases does a player have in a standard turn?,Two main phases,One main phase,Three main phases,Four main phases
"If a player did not play a land in their first main phase, can they play a land in the second main phase?","Yes, they may play a land if they didn’t during the first main phase","No, lands can only be played once per turn, regardless of main phase","Yes, but only if the opponent casts no spells","No, lands are only played during the first main phase"
What types of spells can you cast during your second main phase?,Every type of spell,Only instants and sorceries,Only creature spells,Only artifact spells
"During your second main phase, what spells can your opponent cast?",Instants only,Every type of spell,Only sorceries,Only creature spells
When may you play a land during your second main phase?,If you didn’t play one in your first main phase,Only on your first turn,Only during combat,You can never play a land in the second main phase
What is the opponent's last opportunity to cast spells or activate abilities that stop your creatures from attacking?,Beginning of combat step,Declare blockers step,End step,Second main phase
What happens to a creature that you declare as an attacker in the combat phase?,It taps,It receives an additional +1/+1 counter,It becomes untapped,It is destroyed
"After declaring attackers, what can players do?",Cast instants and activate abilities,Change the target of the attacking creatures,Move the creatures to another zone,Return the creatures to hand
What does the cleanup step require a player to do if they have more than seven cards in hand?,Discard cards until they have only seven.,Draw cards until they have seven.,Swap two cards in their hand.,Lose life equal to the number of cards over seven.
What happens to damage on creatures during the cleanup step?,All damage on creatures is removed.,Damage on creatures is doubled.,Damage on creatures is transferred to all players.,Damage on creatures persists until the next cleanup step.
When may a player cast instants or activate abilities during the cleanup step?,Only if an ability triggers during this step.,"Whenever they choose to, regardless of other conditions.",They may not cast or activate at all during cleanup.,Only the active player may cast or activate abilities.
What happens to a player's permanents during the untap step?,They untap,They tap automatically,They are discarded into the graveyard,They gain a +1/+1 counter
What causes a Magic game to end?,A player’s life total reaching zero,A player running out of cards in their hand,A player’s battlefield becoming empty,The last spell on the stack resolving
What occurs immediately when a player's life total drops to zero?,The game ends and the other player wins,The losing player must shuffle their deck into their library,The game pauses until a new game is started,The winning player must pay a life penalty to continue play
What does 'The Ever-Changing Game' refer to?,"That the game shifts each turn, with cards able to alter the rules of play.",It means players must rotate the colors of mana every turn.,It indicates all lands are removed from play after each turn.,It describes the ability to change a creature’s type during combat.
Which type of cards can generate mana without being a land?,Nonland cards with abilities that produce mana,Only lands can generate mana,Only spell cards can generate mana,Only creature cards can generate mana
"Besides producing mana, what else can lands do?",They can have other abilities,They can only stay untapped,They can only be tapped by players,They can only be used as blockers
What is the recommended number of basic lands in a 40‑card Limited deck?,17 lands,25 lands,10 lands,5 lands
How many creatures should a 40‑card Limited deck contain?,15 creatures,20 creatures,10 creatures,5 creatures
What is the order of passing packs during a Booster Draft?,"Left, right, left","Right, left, right","Left, left, right","Right, right, left"
What can you use to build your 40‑card deck after drafting in a Booster Draft?,Your picks and any number of basic lands,All cards from the packs plus no basic lands,"Only non‑basic lands, no basic lands allowed","A fixed number of basic lands, exactly one per color"
Can you see the cards that other players draft during a Booster Draft?,"No, you cannot see them","Yes, you can see all of them before they are chosen","Yes, you can see a preview of the next card they will pick","Yes, you can see the cards they have already drafted"
What is the role of the oversized plane cards in Planechase?,They set the location for multiplayer battles across the Multiverse and contain abilities that alter the rules of the game.,They determine the starting life total of each team.,They are used as the only source of mana for players.,They are purely decorative and have no effect on gameplay.
How do the planes in Planechase influence the game?,Their abilities alter the rules of the game.,They replace all spell cards in the players' decks.,They grant each player an extra creature each turn.,They function as the game's victory condition.
What is the commander in a Commander game?,a legendary creature chosen by each player to lead the deck,a spell that grants extra life,a special token representing the deck,a mana source used to cast spells
How many players typically play a Commander game?,"3–6 players, although two-player games are also common",exactly 4 players,only 8 players,a single player
What is the purpose of the rest of the deck in a Commander game?,to reflect the personality of the commander and take advantage of its strengths,to contain only creatures of one color,to consist solely of land cards,to be filled with generic spells that ignore the commander’s abilities
How many life points does the archenemy start with?,40 life,30 life,20 life,50 life
What special deck does the archenemy have?,An extra deck of oversized scheme cards,A sideboard of 15 cards,A deck of legendary creatures,A deck of instant spells
What is the goal of the players who are not the archenemy?,To defeat the archenemy,To increase their own life total,To protect the archenemy,To collect all the scheme cards
What hand size does a player draw when they take their first mulligan in a multiplayer game?,A new hand of seven cards,A new hand of six cards,The same seven cards as before the mulligan,A new hand of eight cards
What is a hybrid mana symbol in Magic?,A mana symbol that can be paid with either of two colors.,A mana symbol that can only be paid with black mana.,A mana symbol that requires two copies of the same color to pay.,A mana symbol that can be paid with any color of your choice.
Which colors can the oh1 hybrid mana symbol be paid with?,White or blue mana.,Red or green mana.,Black or colorless mana.,White and green mana.
"When a card has an oh1 symbol in its mana cost, what colors is the card considered?",Both white and blue.,Only white.,Only blue.,All five colors.
What is a hybrid mana symbol in Magic: The Gathering?,A mana symbol that can be paid with any one of two colors.,A mana symbol that requires two mana of the same color.,A mana symbol that can be paid with a combination of a colorless and a colored mana.,A mana symbol that can only be paid with colorless mana.
How can a cost represented by the oh1 symbol be paid?,With one white mana or one blue mana.,With one green mana and one blue mana.,With two mana of any color.,With one colorless mana and one black mana.
What colors does a card belong to if its mana cost includes the hybrid symbol *oh1*?,both white and blue,only white,only blue,colorless
"When a card has an *oh1* symbol in its mana cost, what does that symbol represent?",a hybrid of white and blue mana,a single colorless mana,a requirement for only white mana,a requirement for only blue mana
What does H/H indicate on a creature card?,"Its power and toughness are each set by an ability, not fixed numbers.",Its power and toughness are each 1/1 unless a spell is cast.,It can only attack during the combat phase.,It is an abbreviation for “high/healthy.”
How does Nightmare determine its power and toughness when it enters the battlefield?,By the number of Swamps you control at that moment.,By the total number of cards in your hand.,By the number of creatures you control.,By the mana cost of Nightmare.
"If you control four Swamps when Nightmare enters the battlefield, what will its printed stats be?",It will be 4/4.,It will be 0/0.,It will be 4/2.,It will be 2/4.
How does Nightmare’s power and toughness change when you add more Swamps to the battlefield after it enters?,It increases to match the total number of Swamps you control.,It stays 4/4.,It decreases as you add Swamps.,It remains 1/1 regardless of the number of Swamps.
What causes Nightmare to grow larger as the game progresses?,The number of Swamps you control.,The number of life points you have.,The number of cards in your hand.,The number of creatures you control.
What does the mana symbol **oW** represent?,One white mana,One black mana,One red mana,One green mana
What are the three kinds of abilities that a permanent can have?,"Activated abilities, static abilities, and triggered abilities","Passive abilities, active abilities, and triggered abilities","Activated abilities, static abilities, and passive abilities","Static abilities, triggered abilities, and regenerative abilities"
What are the three kinds of abilities a permanent can have?,"activated abilities, static abilities, triggered abilities","passive abilities, instant abilities, counter abilities","temporary abilities, reactive abilities, perpetual abilities","special abilities, hidden abilities, dormant abilities"
When do the abilities of a permanent “work” according to the rule?,"Only while the permanent is on the battlefield, unless otherwise stated","Only while the permanent is tapped, unless otherwise stated","Only while the permanent is in a player's hand, unless otherwise stated",Always regardless of the permanent’s location
What does the text on a permanent (excluding reminder and flavor text) tell you?,Its abilities,Its mana cost,Its power and toughness,Its card type
"According to the rule, what happens when an activated ability is activated or a triggered ability triggers?","It resolves unless countered, regardless of what happens to its source afterward",It disappears immediately and cannot resolve,It resolves only if the source is on the battlefield at resolution time,It resolves only if the player pays an additional mana cost
Will a triggered or activated ability still resolve if the permanent that produced it is no longer on the battlefield?,"It will resolve unless countered, It will not resolve if the source is removed, It resolves only if the source is tapped, It resolves only if the source is an artifact",It will not resolve if the source is removed,It resolves only if the source is tapped,It resolves only if the source is an artifact
What condition must be met for a triggered or activated ability to be prevented from resolving?,"It must be countered, It must be on the battlefield, It must be tapped, It must be in a graveyard",It must be on the battlefield,It must be tapped,It must be in a graveyard
"Once a triggered or activated ability goes on the stack, does the state of its source matter for its resolution?","No, it doesn’t matter, Yes, the source must remain on the battlefield, Only if the source is a creature, Only if the source is a spell","Yes, the source must remain on the battlefield",Only if the source is a creature,Only if the source is a spell
What does the “oB” symbol represent and how can it be produced?,"oB means one black mana, produced by tapping a Swamp.","It means one blue mana, produced by tapping an Island.","It means one red mana, produced by tapping a Mountain.","It means one green mana, produced by tapping a Forest."
Which basic land type produces “oR” mana?,Mountain produces oR mana.,Swamp produces oR mana.,Forest produces oR mana.,Island produces oR mana.
What color is indicated by the “oG” symbol in a card’s mana cost?,Green.,Red.,Blue.,Black.
What is an activated ability?,"An activated ability is a permanent's ability that a player can activate by paying a cost, written in the form “cost: effect.”",It is an ability that triggers automatically when the permanent enters the battlefield.,It is an ability that can only be used once per game.,It is an ability that has no cost.
What does the tap symbol mean?,It means “tap this card.”,It means the card is sacrificed.,It means you must pay an additional mana cost.,It means the card is activated for free.
"When a card is turned sideways to indicate it’s been used, what symbol is being shown?",The tap symbol.,The untap symbol.,The mana symbol.,The attack symbol.
What happens when you tap Soulmender?,You gain 1 life.,It deals 1 damage to an opponent.,Your opponent gains 1 life.,It shuffles your graveyard into your library.
What does the “oT” symbol mean?,It means “tap this card”.,It means “untap this card”.,It means “sacrifice this card”.,It means “draw a card”.
What does the oT symbol indicate on a card?,Tap this card.,Discard this card.,Sacrifice this card.,Pay a mana cost.
When can you pay a creature’s oT activation cost?,Only after the creature has started your turn on the battlefield under your control and is untapped.,At any time during your opponent’s turn.,Even if the creature is already tapped.,Before the creature enters the battlefield.
What happens if you try to pay an oT cost while the card is tapped?,You cannot pay it.,The card becomes tapped again.,You must tap it again.,The cost is automatically waived.
Which player gets the first chance to cast spells and activate abilities?,The active player,The defending player,The player who last cast a spell,The player who has no creatures
What is Archenemy?,a one‑on‑many multiplayer variant that features oversized scheme cards,a single‑player mode with no opponents,a card type that grants additional mana,a rule that allows players to skip turns
Which multiplayer variant features oversized scheme cards?,Archenemy,Eldrazi,Commander,Standard
Archenemy is a variant of which multiplayer format?,one‑on‑many,two‑on‑two,three‑player,solo
What is an artifact creature?,It is a card that is both an artifact and a creature.,It is a creature that can only be cast from the hand if you sacrifice an artifact.,It is an artifact that has no power or toughness.,It is a creature that cannot be targeted by spells.
What is attack?,It is the action by which your creatures deal damage to your opponent.,It is the process of gaining life when you control a creature.,It is the ability that lets a creature ignore summoning sickness.,It is a rule that requires you to declare blockers before attacking.
Which phase do you decide which untapped creatures will attack?,Combat phase,Precombat main phase,End step,Beginning of your turn
What effect does declaring a creature as an attacker have?,It taps the creature.,It gives the creature vigilance.,It removes the creature from combat.,It allows the creature to untap during your next turn.
Creatures may attack only which types of permanents?,Only players or planeswalkers.,Only other creatures.,"Both players, planeswalkers, and creatures.",Only lands.
"After you declare attackers, what does your opponent get a chance to do?",Block your attacking creatures with his or her own creatures.,Tap your attacking creatures.,Gain life equal to the total power of your attackers.,Destroy one of your attacking creatures.
What does the keyword “enchant” specify on an Aura card?,"It determines what type of permanent the Aura may attach to, such as “enchant creature” or “enchant land.”",It allows the Aura to attach to any permanent regardless of type.,It requires the Aura to be cast directly onto a player.,It automatically destroys the target permanent when the Aura resolves.
What happens to an Aura if it becomes attached to a permanent that no longer matches its enchant ability (or is attached to nothing at all)?,It is put into its owner’s graveyard.,It remains attached but loses all of its abilities.,It transforms into an instant spell.,It is transferred to the opponent’s graveyard.
What occurs when an Aura spell resolves on the battlefield?,It is placed onto the battlefield attached to its chosen permanent.,It becomes a creature with the same power and toughness as the original Aura.,It disappears from play immediately.,It creates a token of the type it was originally attached to.
Which basic land type produces white mana?,Plains,Island,Swamp,Mountain
What is the supertype that appears on the type line of every basic land?,Basic,Legendary,Tribal,Snow
How many copies of a non‑basic card may be included in a Magic deck?,Four,Two,Eight,One
Lands that are not one of the five basic types are called what?,Nonbasic lands,Special lands,Colorless lands,Rare lands
Which of the following is true about the number of basic lands you can include in a deck?,Any number of basic lands may be included,No more than four basic lands may be included,Only one basic land of each type may be included,You must include at least one of each basic land type
What is the maximum number of copies of a non‑basic card that may be included in a deck?,Four,Five,Six,Unlimited
What ability does every basic land have?,It can be tapped to add one mana of its color to the mana pool.,It can be tapped to add two mana of any color to the mana pool.,It can be tapped to create a 1/1 creature token.,It has no tapped ability.
Which lands possess the activated ability that allows them to generate mana even if the text box does not explicitly state it?,"Lands that have a basic land type (such as Forest, Island, etc.).",Only the five basic lands; no other lands have this ability.,Any land that has a creature type.,Only lands that are artifacts.
What information appears after “Basic Land —” on a basic land’s type line?,"The land’s subtype, which indicates the basic land type (e.g., Forest, Island).",The land’s mana cost.,The land’s power and toughness.,The name of the land’s controller.
What happens to a creature after it has been declared as blocked during a combat phase?,"It remains blocked for the rest of that combat phase, even if all its blockers leave combat.",It can start dealing damage to the attacking player after all blockers leave.,It automatically becomes untapped at the beginning of the next turn.,It turns into a creature with flying.
Can a creature that is blocked still deal combat damage to the player or planeswalker it was originally attacking?,Only if it has trample.,"Yes, as soon as all blockers leave combat.","No, it can never deal damage to that player or planeswalker during that combat phase.",Only if the opponent’s last spell was a removal spell.
Is it possible for a creature that has been blocked to become unblocked later in the same combat phase?,"No, once blocked it stays blocked for that combat phase.","Yes, if a second creature blocks it afterward.",Only if the attacking creature has “Deathtouch.”,Only if the defending player taps all his remaining creatures.
Does the rule that a blocked creature remains blocked apply outside of the combat phase?,"No, there is no such thing as a blocked creature outside of the combat phase.","Yes, it applies in any future combat as long as the creature is still on the battlefield.",Only if the creature has the “Flying” ability.,Only if the creature was blocked during a special combat situation.
What remains true for a creature that has blocked during a combat phase?,"It stays a blocking creature for the remainder of the combat phase, even if the creature it’s blocking leaves combat.",It immediately becomes an attacking creature.,It ceases to be a creature until the next turn.,It loses all abilities until combat ends.
Is there a concept of a blocking creature outside of the combat phase?,"No, there is no such thing as a blocking creature outside of the combat phase.","Yes, it remains in that status until the next combat phase.",It can be considered a blocking creature if an ability says so.,It becomes a special type of creature outside combat.
What are the possible card types in Magic?,"artifact, creature, enchantment, instant, land, planeswalker, sorcery","artifact, creature, land, instant, sorcery, enchantment","creature, land, planeswalker, sorcery, instant, basic","artifact, creature, spell, land, planeswalker, sorcery"
Which card type can have more than one type?,artifact creature,instant,basic land,planeswalker
Which of the following is a supertype?,basic,Goblin,Warrior,Creature
What are the five colors in the game?,"white, blue, black, red, green","white, blue, black, red, purple","white, blue, black, green, yellow","white, blue, black, red, colorless"
"When a spell or ability asks you to choose a color, which options can you pick?","one of the five colors: white, blue, black, red, or green","any color you wish, including colorless",only the colors that appear on the card’s mana cost,any color plus an extra “purple” option
How is a card’s color determined?,by its mana cost,by its card type,by its subtypes,by its artwork
What color is a card that has a single blue mana symbol in its mana cost?,blue,green,colorless,red
What colors does a card that has one red and one white mana symbol in its mana cost have?,red and white,only red,only white,colorless
Are artifacts colorless when they have no colored mana in their mana cost?,"yes, they are colorless","no, they are always blue","no, they are always green","no, they are always black"
Are lands considered colored?,"no, lands are colorless","yes, lands are green","yes, lands are blue","yes, lands are red"
What does the term “colorless” refer to in the context of cards?,something that is not any of the five colors,a special extra color that is not on the list,a type of mana that can be paid with any color,a keyword that makes a card untargetable
What can change a spell or permanent’s color?,An effect that specifically changes the color of the spell or permanent,A random roll of a die,A card’s printed mana cost,The player’s life total
"When an effect changes a spell or permanent’s color, what does the new color replace?","The spell’s or permanent’s previous colors, unless the ability says otherwise",The card’s mana symbols,The player’s chosen color,The colorless nature of the object
"If an effect changes a creature’s color until end of turn, can the creature keep any of its original colors?",Only if the effect states that it may keep them,Always – it never loses original colors,Never – it loses all original colors permanently,Only if the creature is colorless to begin with
Can a spell or permanent that has no colored mana in its mana cost become colored by an effect?,"Yes, it can change color through an effect","No, it will always remain colorless",Only if it is an artifact or land,Only if the effect is a card named “Colorless”
Which of the following best describes what a card’s color is normally determined by?,Its mana cost,The player who casts it,The deck it’s in,The number of lands it controls
"When an effect states “Target creature becomes blue until end of turn,” what happens to that creature’s color(s)?","- The creature’s color changes to blue, replacing any colors it had before.,- The creature’s color becomes both blue and whatever colors it had earlier.,- The creature keeps its original colors and simply gains blue as an additional color.,- The creature loses all color but does not become blue.","The creature’s color changes to blue, replacing any colors it had before.",The creature’s color becomes both blue and whatever colors it had earlier.,The creature keeps its original colors and simply gains blue as an additional color.
"If an ability changes a creature’s color, does the creature retain its previous colors unless the ability says otherwise?","- No; the new color replaces the previous colors unless the ability explicitly states otherwise.,- Yes; the creature always retains its original colors even when it changes.,- The creature keeps its colors only if the ability says “add to colors.”,- The creature loses all colors, including the new one, unless the ability says otherwise.",No; the new color replaces the previous colors unless the ability explicitly states otherwise.,Yes; the creature always retains its original colors even when it changes.,The creature keeps its colors only if the ability says “add to colors.”
What is combat in Magic: The Gathering?,"The series of actions that includes attacking, blocking, and everything that occurs during a combat phase.",A set of rules that only applies when a creature has flying.,A type of spell that can only be played during the main phase.,A mechanic that allows a player to skip the draw step.
